task,failure,controller,trigger_mode,seed,episode,success,steps,return,initial_distance,final_distance,min_distance,distance_reduction,risk_event_rate,monitor_triggers,recovery_replans,recovery_phase_replans,recovery_override_rate,source_csv,recovery_policy,experiment_suite,experiment_notes,visual_reestimate_triggers,unsafe_warning_events,unsafe_abort,min_danger_distance,source,route_label,fault_family,split,pred_route,confidence,prob_auto_execute,prob_auto_recovery,prob_human_review,prob_abort_candidate
NeedlePick,execution_slip,monitor_corrected,coarse,43004,0,1.0,80,-79.0,0.2330517517043435,0.0211679095260486,0.0211679095260486,0.2118838421782948,0.7375,3,1.0,1.0,0.9375,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,human_review,0.45806778853939106,0.13079407760680695,0.40575443671196254,0.45806778853939106,0.005383697141839398
NeedlePick,none,clean,goalaware,43000,0,1.0,44,-43.0,0.2248327019361904,0.0210823226468185,0.0210823226468185,0.2037503792893718,0.0,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,1.0,master_episode_rows,auto_execute,nominal_execution,train_even_seed,auto_execute,0.9423778417609046,0.9423778417609046,0.03957450180118415,0.014775773510968178,0.0032718829269432264
NeedlePick,none,clean,goalaware,43002,0,1.0,42,-41.0,0.276283544707664,0.0211041973088774,0.0211041973088774,0.2551793473987866,0.0,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,1.0,master_episode_rows,auto_execute,nominal_execution,train_even_seed,auto_execute,0.9387173173733762,0.9387173173733762,0.04611344539056532,0.011984333502069944,0.003184903733988691
NeedlePick,none,clean,goalaware,43004,0,1.0,37,-36.0,0.2330517517043435,0.0159348329772258,0.0159348329772258,0.2171169187271176,0.0,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,1.0,master_episode_rows,auto_execute,nominal_execution,train_even_seed,auto_execute,0.9516223012003925,0.9516223012003925,0.03515113030956975,0.010391676377981454,0.002834892112056239
NeedlePick,none,clean,goalaware,43006,0,1.0,45,-44.0,0.2540607979518466,0.0209424162532183,0.0209424162532183,0.2331183816986282,0.0,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,1.0,master_episode_rows,auto_execute,nominal_execution,train_even_seed,auto_execute,0.9383159955571028,0.9383159955571028,0.04427905958619364,0.014089455884877408,0.0033154889718261613
NeedlePick,none,clean,goalaware,43008,0,1.0,41,-40.0,0.1699740880602928,0.0244497379929081,0.0244497379929081,0.1455243500673846,0.0,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,1.0,master_episode_rows,auto_execute,nominal_execution,train_even_seed,auto_execute,0.947749677046013,0.947749677046013,0.03267225382841973,0.016353583994409827,0.003224485131157429
NeedlePick,none,monitor_corrected,goalaware,43000,0,1.0,44,-43.0,0.2248327019361904,0.0210817281693356,0.0210817281693356,0.2037509737668548,0.0,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,1.0,master_episode_rows,auto_execute,nominal_execution,train_even_seed,auto_execute,0.942378269434218,0.942378269434218,0.03957423909775798,0.014775625573962762,0.003271865894061181
NeedlePick,none,monitor_corrected,goalaware,43002,0,1.0,42,-41.0,0.276283544707664,0.021104332389524,0.021104332389524,0.25517921231814,0.0,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,1.0,master_episode_rows,auto_execute,nominal_execution,train_even_seed,auto_execute,0.93871721701691,0.93871721701691,0.046113514772342615,0.011984360721386705,0.0031849074893606447
NeedlePick,none,monitor_corrected,goalaware,43004,0,1.0,37,-36.0,0.2330517517043435,0.0159347223962856,0.0159347223962856,0.2171170293080578,0.0,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,1.0,master_episode_rows,auto_execute,nominal_execution,train_even_seed,auto_execute,0.9516223674210911,0.9516223674210911,0.03515108638368569,0.010391656870400692,0.0028348893248223293
NeedlePick,none,monitor_corrected,goalaware,43006,0,1.0,45,-44.0,0.2540607979518466,0.0209424162532183,0.0209424162532183,0.2331183816986282,0.0,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_10seed.csv,internal_phase_replan,standard_corruptions_10seed,"NeedlePick standard action corruptions, internal phase-aware recovery, 10 seed",0.0,0.0,0.0,1.0,master_episode_rows,auto_execute,nominal_execution,train_even_seed,auto_execute,0.9383159955571028,0.9383159955571028,0.04427905958619364,0.014089455884877408,0.0033154889718261613
