suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate,trigger_mode,return,initial_distance,min_distance,distance_reduction,risk_event_rate,recovery_replans,visual_reestimate_triggers,unsafe_warning_events,unsafe_abort,min_danger_distance,review_needed,failure_or_review,first_action_anomaly_missing,first_grasp_uncertain_missing,first_perception_uncertain_missing,first_review_missing,learned_review_risk,split
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0116913984820278,36,2.875,4.0,999.0,999.0,999.0,,4.0,35.0,1.0,0.0,0.8611111111111112,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,1.0,0.0014373996025741557,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2405472845094843,200,3.25,6.0,999.0,999.0,37.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,0.0,0.043126139942899204,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2744540412305243,200,3.25,0.0,999.0,999.0,31.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,0.0,0.0486099627872042,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2545280042469207,200,3.25,0.0,999.0,999.0,40.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,0.0,0.045311811610762455,train_even_seed
standard_corruptions,GauzeRetrieve,action_noise,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0123994672532815,35,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.0076968233889394885,train_even_seed
standard_corruptions,GauzeRetrieve,action_noise,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0128146525690532,35,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.007708564229778943,train_even_seed
standard_corruptions,GauzeRetrieve,action_noise,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0103753049586258,35,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.0076398366445725565,train_even_seed
standard_corruptions,GauzeRetrieve,action_noise,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0121275690304003,34,2.5,0.0,999.0,999.0,999.0,,0.0,33.0,2.0,0.0,0.9411764705882352,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,1.0,0.0019123042937338622,train_even_seed
standard_corruptions,GauzeRetrieve,action_noise,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0144946595770494,35,2.5,0.0,999.0,999.0,999.0,,0.0,34.0,2.0,0.0,0.9428571428571428,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,1.0,0.0019472301944768262,train_even_seed
standard_corruptions,GauzeRetrieve,action_noise,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.013622751850512,35,2.5,0.0,999.0,999.0,999.0,,0.0,34.0,2.0,0.0,0.9428571428571428,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,1.0,0.0019409710265008684,train_even_seed
standard_corruptions,GauzeRetrieve,action_noise,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2840154690540094,200,3.25,0.0,999.0,999.0,31.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,0.0,0.050272319421483386,train_even_seed
standard_corruptions,GauzeRetrieve,action_noise,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2673301351181252,200,3.25,0.0,999.0,999.0,30.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,0.0,0.047405443636806065,train_even_seed
standard_corruptions,GauzeRetrieve,action_noise,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2428197516840279,200,3.25,0.0,999.0,999.0,30.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,0.0,0.043474424810007566,train_even_seed
standard_corruptions,GauzeRetrieve,execution_slip,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0123994672532815,35,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.0076968233889394885,train_even_seed
standard_corruptions,GauzeRetrieve,execution_slip,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0128146525690532,35,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.007708564229778943,train_even_seed
standard_corruptions,GauzeRetrieve,execution_slip,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0103753049586258,35,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.0076398366445725565,train_even_seed
standard_corruptions,GauzeRetrieve,execution_slip,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0094850171922963,36,2.5,0.0,999.0,999.0,999.0,,0.0,35.0,1.0,0.0,0.8888888888888888,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,1.0,0.0014294555735589935,train_even_seed
standard_corruptions,GauzeRetrieve,execution_slip,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.012799924648187,36,2.5,0.0,999.0,999.0,999.0,,0.0,35.0,1.0,0.0,0.8888888888888888,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,1.0,0.0014470693266289201,train_even_seed
standard_corruptions,GauzeRetrieve,execution_slip,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0097838820777877,36,2.5,0.0,999.0,999.0,999.0,,0.0,35.0,1.0,0.0,0.8888888888888888,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,1.0,0.0014310347716054675,train_even_seed
standard_corruptions,GauzeRetrieve,execution_slip,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2405228762205027,200,3.25,0.0,999.0,999.0,56.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,0.0,0.04312241355939005,train_even_seed
standard_corruptions,GauzeRetrieve,execution_slip,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2775434009523864,200,3.25,0.0,999.0,999.0,52.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,0.0,0.04914129596625933,train_even_seed
standard_corruptions,GauzeRetrieve,execution_slip,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2547221911072103,200,3.25,0.0,999.0,999.0,44.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,0.0,0.04534290066726212,train_even_seed
standard_corruptions,GauzeRetrieve,none,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0123994672532815,35,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,0,1.0,1.0,1.0,1.0,0.0076968233889394885,train_even_seed
standard_corruptions,GauzeRetrieve,none,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0128146525690532,35,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,0,1.0,1.0,1.0,1.0,0.007708564229778943,train_even_seed
standard_corruptions,GauzeRetrieve,none,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0103753049586258,35,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,0,1.0,1.0,1.0,1.0,0.0076398366445725565,train_even_seed
standard_corruptions,GauzeRetrieve,none,monitor_corrected,43000,0,auto_execute,nominal_no_alarm,1.0,0.0124623686922585,35,2.25,999.0,999.0,999.0,999.0,,5.0,34.0,1.0,0.0,0.8285714285714286,,,,,,,,,0.0,,1.0,0,0,1.0,1.0,1.0,1.0,0.012370682531651843,train_even_seed
standard_corruptions,GauzeRetrieve,none,monitor_corrected,43002,0,auto_execute,nominal_no_alarm,1.0,0.0125896631032279,35,2.25,999.0,999.0,999.0,999.0,,5.0,34.0,1.0,0.0,0.8285714285714286,,,,,,,,,0.0,,1.0,0,0,1.0,1.0,1.0,1.0,0.012376437852816065,train_even_seed
standard_corruptions,GauzeRetrieve,none,monitor_corrected,43004,0,auto_execute,nominal_no_alarm,1.0,0.0117393359899586,35,2.25,999.0,999.0,999.0,999.0,,5.0,34.0,1.0,0.0,0.8285714285714286,,,,,,,,,0.0,,1.0,0,0,1.0,1.0,1.0,1.0,0.012338042390216679,train_even_seed
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0210823226468185,44,2.25,999.0,999.0,999.0,999.0,,,43.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.008609831403276006,train_even_seed
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42,2.25,999.0,999.0,999.0,999.0,,,41.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.008458417799193147,train_even_seed
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37,2.25,999.0,999.0,999.0,999.0,,,36.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.00793768106152239,train_even_seed
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,43006,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0209424162532183,45,2.25,999.0,999.0,999.0,999.0,,,44.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.008682434882005688,train_even_seed
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,43008,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0244497379929081,41,2.25,999.0,999.0,999.0,999.0,,,40.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.008486892962929909,train_even_seed
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,43000,0,human_review,grasp_outcome_uncertain,1.0,0.0210614484457027,103,3.75,999.0,38.0,999.0,38.0,38.0,4.0,102.0,3.0,1.0,0.9320388349514565,,,,,,,,,0.0,,1.0,1,1,1.0,0.0,1.0,0.0,0.9559623524277852,train_even_seed
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,43002,0,human_review,grasp_outcome_uncertain,1.0,0.0211311301854985,105,3.75,999.0,35.0,999.0,35.0,35.0,4.0,104.0,3.0,2.0,0.9142857142857144,,,,,,,,,0.0,,1.0,1,1,1.0,0.0,1.0,0.0,0.9838469166787521,train_even_seed
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,43004,0,human_review,grasp_outcome_uncertain,1.0,0.0159242089852736,102,3.75,999.0,30.0,999.0,30.0,30.0,4.0,101.0,3.0,2.0,0.9411764705882352,,,,,,,,,0.0,,1.0,1,1,1.0,0.0,1.0,0.0,0.9831984871446598,train_even_seed
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,43006,0,human_review,grasp_outcome_uncertain,1.0,0.0209800655754687,108,3.75,999.0,37.0,999.0,37.0,37.0,4.0,107.0,3.0,1.0,0.8888888888888888,,,,,,,,,0.0,,1.0,1,1,1.0,0.0,1.0,0.0,0.9573991454759402,train_even_seed
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,43008,0,human_review,grasp_outcome_uncertain,1.0,0.0244680936522906,101,3.75,999.0,36.0,999.0,36.0,36.0,4.0,100.0,3.0,2.0,0.9504950495049505,,,,,,,,,0.0,,1.0,1,1,1.0,0.0,1.0,0.0,0.9836028828800177,train_even_seed
