suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate,trigger_mode,return,initial_distance,min_distance,distance_reduction,risk_event_rate,recovery_replans,visual_reestimate_triggers,unsafe_warning_events,unsafe_abort,min_danger_distance,review_needed,failure_or_review,first_action_anomaly_missing,first_grasp_uncertain_missing,first_perception_uncertain_missing,first_review_missing,learned_review_risk,split,route_idx,review_or_abort,not_auto_execute,progress_fraction,first_action_anomaly_signal,first_grasp_uncertain_signal,first_perception_uncertain_signal,inverse_min_danger_distance,stall_or_slow_progress,failure_family_known,multisignal_review_score,multisignal_review_pred,multisignal_route_pred,multisignal_route_confidence,split_multisignal
standard_corruptions,NeedlePick,none,monitor_corrected,43004,0,auto_execute,nominal_no_alarm,1.0,0.0159348323491111,37.0,2.25,999.0,999.0,999.0,999.0,,4.0,36.0,1.0,0.0,0.8648648648648649,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,1.0,1.0,0.0128589706355844,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.027202611110708822,0,auto_execute,0.9021494948049416,train
standard_corruptions,GauzeRetrieve,action_dropout,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0123994672532815,35.0,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.0076968233889394,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.019741469089058303,0,auto_execute,0.9582953257066587,train
standard_corruptions,GauzeRetrieve,action_dropout,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0128146525690532,35.0,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.0077085642297789,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.019774109867734292,0,auto_execute,0.9582046459993033,validation
standard_corruptions,GauzeRetrieve,action_dropout,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0103753049586258,35.0,2.25,999.0,999.0,999.0,999.0,,,34.0,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.0076398366445725,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.019583104415820906,0,auto_execute,0.9587346511405092,train
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0123854749067052,36.0,2.59375,1.0,999.0,999.0,999.0,,1.0,35.0,1.0,0.0,0.8888888888888888,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.001446227782864,train_even_seed,1,0,1,0.0,0.998998998998999,0.0,0.0,1.0,1.0,1,0.007813749288585218,0,auto_recovery,0.9313465920925948,train
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0124139402273811,36.0,2.6875,2.0,999.0,999.0,999.0,,2.0,35.0,1.0,0.0,0.8888888888888888,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.0014477537593045,train_even_seed,1,0,1,0.0,0.997997997997998,0.0,0.0,1.0,1.0,1,0.007828723187202744,0,auto_recovery,0.9314167358010205,validation
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0116913984820278,36.0,2.875,4.0,999.0,999.0,999.0,,4.0,35.0,1.0,0.0,0.8611111111111112,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.0014373996025741,train_even_seed,1,0,1,0.0,0.995995995995996,0.0,0.0,1.0,1.0,1,0.007810531415388253,0,auto_recovery,0.9304218577169118,train
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2405472845094843,200.0,3.25,6.0,999.0,999.0,37.0,,,,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0431261399428992,train_even_seed,1,0,1,0.0,0.993993993993994,0.0,0.0,1.0,1.0,1,0.05946734989644905,0,auto_recovery,0.9668188057356857,train
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2744540412305243,200.0,3.25,0.0,999.0,999.0,31.0,,,,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0486099627872042,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.06806895020515531,0,auto_recovery,0.9679351952071963,validation
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2545280042469207,200.0,3.25,0.0,999.0,999.0,40.0,,,,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0453118116107624,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.06261719831041461,0,auto_recovery,0.9677946401233823,train
