suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate
standard_corruptions,GauzeRetrieve,action_noise,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2428197516840279,200,3.25,0.0,,,30.0,,,,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,execution_slip,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0123994672532815,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,execution_slip,clean,43001,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0136650557877879,33,2.25,,,,,,,32.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,execution_slip,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0128146525690532,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,execution_slip,clean,43003,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0135693759879085,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,execution_slip,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0103753049586258,35,2.25,,,,,,,34.0,0.0,0.0,0.0
standard_corruptions,GauzeRetrieve,execution_slip,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0094850171922963,36,2.5,0.0,,,,,0.0,35.0,1.0,0.0,0.8888888888888888
standard_corruptions,GauzeRetrieve,execution_slip,monitor_corrected,43001,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0158446683347267,35,2.5,0.0,,,,,0.0,34.0,1.0,0.0,0.9142857142857144
standard_corruptions,GauzeRetrieve,execution_slip,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.012799924648187,36,2.5,0.0,,,,,0.0,35.0,1.0,0.0,0.8888888888888888
standard_corruptions,GauzeRetrieve,execution_slip,monitor_corrected,43003,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0165846050571809,36,2.5,0.0,,,,,0.0,35.0,1.0,0.0,0.8888888888888888
