suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate,unsafe_warning_events,unsafe_abort,min_danger_distance,source,trigger_mode,return,initial_distance,min_distance,distance_reduction,risk_event_rate,recovery_replans,visual_reestimate_triggers,family,first_action_anomaly_observed,first_grasp_uncertain_observed,first_perception_uncertain_observed,first_review_observed,first_abort_observed,pc1,pc2,split
standard_corruptions,NeedlePick,execution_slip,perturbed,43003,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.1958383551131128,200,3.25,0.0,,,32.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,1.0,0.0,2.432325536457345,-1.3600282059934747,test_odd_seed
standard_corruptions,NeedlePick,execution_slip,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2329920163894682,200,3.25,0.0,,,32.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,1.0,0.0,2.5754609519329117,-1.446653253386259,train_even_seed
standard_corruptions,NeedlePick,none,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0210823226468185,44,2.25,,,,,,,43.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.3789430874190094,-0.06869334287094978,train_even_seed
standard_corruptions,NeedlePick,none,clean,43001,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0220062874458691,36,2.25,,,,,,,35.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.424026149542197,-0.05184331213916096,test_odd_seed
standard_corruptions,NeedlePick,none,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42,2.25,,,,,,,41.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.3910194796761848,-0.06399327274147912,train_even_seed
standard_corruptions,NeedlePick,none,clean,43003,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0178893382398011,41,2.25,,,,,,,40.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4094851376512463,-0.05412218170435533,test_odd_seed
standard_corruptions,NeedlePick,none,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37,2.25,,,,,,,36.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4413362482703862,-0.040063041704107384,train_even_seed
standard_corruptions,NeedlePick,none,monitor_corrected,43000,0,auto_execute,nominal_no_alarm,1.0,0.021082165583244,44,2.25,,,,,,4.0,43.0,1.0,0.0,0.7272727272727273,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.3437628137280473,1.3132292067145,train_even_seed
standard_corruptions,NeedlePick,none,monitor_corrected,43001,0,auto_execute,nominal_no_alarm,1.0,0.0220062751549105,36,2.25,,,,,,4.0,35.0,1.0,0.0,0.8611111111111112,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.3906124539540867,1.5047214256471702,test_odd_seed
standard_corruptions,NeedlePick,none,monitor_corrected,43002,0,auto_execute,nominal_no_alarm,1.0,0.021104949804524,42,2.25,,,,,,4.0,41.0,1.0,0.0,0.7619047619047619,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.3562929661466847,1.3631176749658662,train_even_seed
standard_corruptions,NeedlePick,none,monitor_corrected,43003,0,auto_execute,nominal_no_alarm,1.0,0.0178893429149685,41,2.25,,,,,,4.0,40.0,1.0,0.0,0.7804878048780488,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.375006866429891,1.3972390806307515,test_odd_seed
standard_corruptions,NeedlePick,none,monitor_corrected,43004,0,auto_execute,nominal_no_alarm,1.0,0.0159348323491111,37,2.25,,,,,,4.0,36.0,1.0,0.0,0.8648648648648649,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4079720704593741,1.5213998529367523,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0123994672532815,35,2.25,,,,,,,34.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4671169986743873,-0.027069142475722136,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,clean,43001,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0136650557877879,33,2.25,,,,,,,32.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4744019519252862,-0.025268834292791937,test_odd_seed
standard_corruptions,GauzeRetrieve,action_dropout,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0128146525690532,35,2.25,,,,,,,34.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4655174867923604,-0.028037161411675577,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,clean,43003,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0135693759879085,35,2.25,,,,,,,34.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4626098958197382,-0.029796825188563986,test_odd_seed
standard_corruptions,GauzeRetrieve,action_dropout,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0103753049586258,35,2.25,,,,,,,34.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4749151348763745,-0.022349738016468352,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0123854749067052,36,2.59375,1.0,,,,,1.0,35.0,1.0,0.0,0.8888888888888888,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-1.1751973498006218,1.642722646158135,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43001,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0130924905687453,34,2.78125,3.0,,,,,3.0,33.0,1.0,0.0,0.8823529411764706,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-1.1242293326499673,1.627741805342845,test_odd_seed
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0124139402273811,36,2.6875,2.0,,,,,2.0,35.0,1.0,0.0,0.8888888888888888,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-1.1449283919190918,1.637878839190021,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43003,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0125843139348445,36,2.6875,2.0,,,,,2.0,35.0,1.0,0.0,0.8888888888888888,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-1.144272022921633,1.6374816069933413,test_odd_seed
standard_corruptions,GauzeRetrieve,action_dropout,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0116913984820278,36,2.875,4.0,,,,,4.0,35.0,1.0,0.0,0.8611111111111112,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-1.0870266491075078,1.5937620301592328,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2405472845094843,200,3.25,6.0,,,37.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,1.0,0.0,2.604567812582363,-1.4642686225444554,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43001,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2356245488819259,200,3.25,5.0,,,31.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,1.0,0.0,2.5856028496387147,-1.45279109402129,test_odd_seed
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2744540412305243,200,3.25,0.0,,,31.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,1.0,0.0,2.735194446512075,-1.5433233995702909,train_even_seed
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43003,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2799389980978954,200,3.25,2.0,,,43.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,1.0,0.0,2.756325380937005,-1.5561117663761692,test_odd_seed
standard_corruptions,GauzeRetrieve,action_dropout,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2545280042469207,200,3.25,0.0,,,40.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,1.0,0.0,2.658428887359909,-1.4968651545748368,train_even_seed
standard_corruptions,GauzeRetrieve,action_noise,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0123994672532815,35,2.25,,,,,,,34.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4671169986743873,-0.027069142475722136,train_even_seed
standard_corruptions,GauzeRetrieve,action_noise,clean,43001,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0136650557877879,33,2.25,,,,,,,32.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4744019519252862,-0.025268834292791937,test_odd_seed
