experiment_suite,task,failure,recovery_policy,controller,source_csv,experiment_notes,episodes,seeds,success_mean,success_std,final_distance_mean,final_distance_std,triggers_mean,phase_replans_mean,override_rate_mean,steps_mean,steps_std
standard_corruptions,GauzeRetrieve,execution_slip,internal_phase_replan,perturbed,runs/surrol_gauzeretrieve_phase_replan_w32_5seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery",5,5,0.0,0.0,0.265111695512395,0.016954402524004247,0.0,0.0,0.0,200.0,0.0
standard_corruptions,GauzeRetrieve,none,internal_phase_replan,clean,runs/surrol_gauzeretrieve_phase_replan_w32_5seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.01256477131133138,0.00133260885761071,0.0,0.0,0.0,34.6,0.8944271909999153
standard_corruptions,GauzeRetrieve,none,internal_phase_replan,monitor_corrected,runs/surrol_gauzeretrieve_phase_replan_w32_5seed.csv,"GauzeRetrieve standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.0128721273569861,0.0009097160895647013,1.0,0.0,0.8264935064935065,34.6,0.8944271909999153
standard_corruptions,NeedlePick,action_dropout,internal_phase_replan,clean,runs/surrol_needlepick_phase_replan_w32_5seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.01960339572371838,0.0025792375110385204,0.0,0.0,0.0,40.0,3.3911649915626345
standard_corruptions,NeedlePick,action_dropout,internal_phase_replan,monitor_corrected,runs/surrol_needlepick_phase_replan_w32_5seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.02157441498997646,0.0016017032919135997,2.8,0.8,0.9204564896468475,74.2,16.528762809115506
standard_corruptions,NeedlePick,action_dropout,internal_phase_replan,perturbed,runs/surrol_needlepick_phase_replan_w32_5seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery",5,5,0.0,0.0,0.19461688827909412,0.021422502332979713,0.0,0.0,0.0,200.0,0.0
standard_corruptions,NeedlePick,action_noise,internal_phase_replan,clean,runs/surrol_needlepick_phase_replan_w32_5seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.01960339572371838,0.0025792375110385204,0.0,0.0,0.0,40.0,3.3911649915626345
standard_corruptions,NeedlePick,action_noise,internal_phase_replan,monitor_corrected,runs/surrol_needlepick_phase_replan_w32_5seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.020086182981693602,0.0035529379229615483,2.0,0.0,0.9635017953622604,40.0,4.183300132670378
standard_corruptions,NeedlePick,action_noise,internal_phase_replan,perturbed,runs/surrol_needlepick_phase_replan_w32_5seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery",5,5,0.0,0.0,0.21718728072962695,0.03941765390871666,0.0,0.0,0.0,200.0,0.0
standard_corruptions,NeedlePick,execution_slip,internal_phase_replan,clean,runs/surrol_needlepick_phase_replan_w32_5seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.01960339572371838,0.0025792375110385204,0.0,0.0,0.0,40.0,3.3911649915626345
standard_corruptions,NeedlePick,execution_slip,internal_phase_replan,monitor_corrected,runs/surrol_needlepick_phase_replan_w32_5seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.0202058780453748,0.0015203619380736203,2.4,0.4,0.9611424880029531,58.0,20.112185361118765
standard_corruptions,NeedlePick,execution_slip,internal_phase_replan,perturbed,runs/surrol_needlepick_phase_replan_w32_5seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery",5,5,0.0,0.0,0.21959795920129305,0.04069559187466449,0.0,0.0,0.0,200.0,0.0
standard_corruptions,NeedlePick,none,internal_phase_replan,clean,runs/surrol_needlepick_phase_replan_w32_5seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.01960339572371838,0.0025792375110385204,0.0,0.0,0.0,40.0,3.3911649915626345
standard_corruptions,NeedlePick,none,internal_phase_replan,monitor_corrected,runs/surrol_needlepick_phase_replan_w32_5seed.csv,"NeedlePick standard action corruptions, internal phase-aware recovery",5,5,1.0,0.0,0.019603513161351623,0.0025793210691772623,1.0,0.0,0.7991282540063028,40.0,3.3911649915626345
